time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2024/05/14/15:21:49.593148,60266,1715714509,592897280,map,71.53428770934151,-15.299210071249025,-3.004087448120117,-0.00013160156222756232,0.00952417518925292,-0.15092847189747138,0.9884987957193916
2024/05/14/15:21:49.613023,60267,1715714509,612799123,map,71.60437471015378,-15.321379450308802,-3.004087448120117,-0.0001313841129205115,0.009524178191404954,-0.15095104056775724,0.9884953495689822
2024/05/14/15:21:49.633655,60268,1715714509,633449650,map,71.67433627416578,-15.343494936222987,-3.004087448120117,-0.0001311791576298132,0.009524181016516075,-0.15097231242814196,0.9884921009538178
2024/05/14/15:21:49.653288,60269,1715714509,653015975,map,71.74405956244715,-15.365119464771508,-3.011577844619751,-0.0004966190062204506,0.009244400578932131,-0.15096969425790116,0.9884950408794041
2024/05/14/15:21:49.674242,60270,1715714509,673988181,map,71.81401647426007,-15.386826100754892,-3.011577844619751,-0.0004966696461442407,0.009244397858362601,-0.1509642793755175,0.9884958678619399
2024/05/14/15:21:49.693329,60271,1715714509,693107100,map,71.88380931653253,-15.408493433432263,-3.011577844619751,-0.0004966813691625613,0.009244397228517763,-0.150963025842636,0.9884960593021778
2024/05/14/15:21:49.713206,60272,1715714509,712971609,map,71.95351340466394,-15.430143202126953,-3.011577844619751,-0.0004966842675996424,0.009244397072790582,-0.1509627159150491,0.9884961066342401
2024/05/14/15:21:49.733468,60273,1715714509,733301335,map,72.02316006768731,-15.451784370400889,-3.011577844619751,-0.0004966812473475237,0.00924439723506262,-0.15096303886822127,0.9884960573129116
2024/05/14/15:21:49.753316,60274,1715714509,753065702,map,72.09275469708253,-15.473591144095831,-3.022733449935913,-0.0005273199581147376,0.009028216653117309,-0.15097379310212833,0.9884963970769353
2024/05/14/15:21:49.773811,60275,1715714509,773545239,map,72.16147175098502,-15.495125758486337,-3.022733449935913,-0.0005271844894562802,0.009028224564549086,-0.15098862549636782,0.9884941316004076
2024/05/14/15:21:49.793780,60276,1715714509,793545862,map,72.23033252385888,-15.51670277238693,-3.022733449935913,-0.0005270811131762819,0.009028230600399154,-0.15099994408086587,0.988492402664432
2024/05/14/15:21:49.813623,60277,1715714509,813387532,map,72.29925006266862,-15.538296340428628,-3.022733449935913,-0.0005269833329057145,0.009028236308420954,-0.1510106499376779,0.9884907672017612
2024/05/14/15:21:49.833816,60278,1715714509,833567836,map,72.36819137042127,-15.55989661046313,-3.022733449935913,-0.0005268888351316384,0.009028241823814006,-0.15102099637421176,0.9884891865325924
2024/05/14/15:21:49.853233,60279,1715714509,853012837,map,72.43735803922829,-15.581978858805911,-3.0326576232910156,-0.0003996862575006172,0.00873798580591393,-0.1510576763742339,0.9884862499111298
