time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2024/05/14/15:48:02.366268,139911,1715716082,366171531,gps,0,0,34.81436814612415,-82.32601544105496,276.91168957203627,"(3.380305887463294, 0.0, 0.0, 0.0, 3.9376641851252003, 0.0, 0.0, 0.0, 10.183856464049313)",2
2024/05/14/15:48:02.384477,139912,1715716082,384326547,gps,0,0,34.81436814612415,-82.32601544105496,276.91168957203627,"(3.380305887463294, 0.0, 0.0, 0.0, 3.9376641851252003, 0.0, 0.0, 0.0, 10.183856464049313)",2
2024/05/14/15:48:02.406038,139913,1715716082,405903239,gps,0,0,34.81436814612415,-82.32601544105496,276.91168957203627,"(3.380305887463294, 0.0, 0.0, 0.0, 3.9376641851252003, 0.0, 0.0, 0.0, 10.183856464049313)",2
2024/05/14/15:48:02.425213,139914,1715716082,425087903,gps,0,0,34.81436814612415,-82.32601544105496,276.91168957203627,"(3.380305887463294, 0.0, 0.0, 0.0, 3.9376641851252003, 0.0, 0.0, 0.0, 10.183856464049313)",2
2024/05/14/15:48:02.455642,139915,1715716082,455483470,gps,0,0,34.81436814612415,-82.32601544105496,276.91168957203627,"(3.380305887463294, 0.0, 0.0, 0.0, 3.9376641851252003, 0.0, 0.0, 0.0, 10.183856464049313)",2
2024/05/14/15:48:02.465167,139916,1715716082,465044271,gps,0,0,34.814368467847956,-82.32601500397473,277.08195297513157,"(3.022603174264077, 0.0, 0.0, 0.0, 3.760176413692534, 0.0, 0.0, 0.0, 9.721076745159962)",2
2024/05/14/15:48:02.485499,139917,1715716082,485375031,gps,0,0,34.814368467847956,-82.32601500397473,277.08195297513157,"(3.022603174264077, 0.0, 0.0, 0.0, 3.760176413692534, 0.0, 0.0, 0.0, 9.721076745159962)",2
2024/05/14/15:48:02.505408,139918,1715716082,505220005,gps,0,0,34.814368467847956,-82.32601500397473,277.08195297513157,"(3.022603174264077, 0.0, 0.0, 0.0, 3.760176413692534, 0.0, 0.0, 0.0, 9.721076745159962)",2
2024/05/14/15:48:02.525840,139919,1715716082,525737088,gps,0,0,34.814368467847956,-82.32601500397473,277.08195297513157,"(3.022603174264077, 0.0, 0.0, 0.0, 3.760176413692534, 0.0, 0.0, 0.0, 9.721076745159962)",2
2024/05/14/15:48:02.550042,139920,1715716082,549895125,gps,0,0,34.814368467847956,-82.32601500397473,277.08195297513157,"(3.022603174264077, 0.0, 0.0, 0.0, 3.760176413692534, 0.0, 0.0, 0.0, 9.721076745159962)",2
2024/05/14/15:48:02.564553,139921,1715716082,564406206,gps,0,0,34.814366427546695,-82.32599288083608,280.0564949270338,"(2.6087772160010445, 0.0, 0.0, 0.0, 3.526075040781521, 0.0, 0.0, 0.0, 8.884303960231193)",2
2024/05/14/15:48:02.585155,139922,1715716082,585015698,gps,0,0,34.814366427546695,-82.32599288083608,280.0564949270338,"(2.6087772160010445, 0.0, 0.0, 0.0, 3.526075040781521, 0.0, 0.0, 0.0, 8.884303960231193)",2
2024/05/14/15:48:02.611007,139923,1715716082,610885195,gps,0,0,34.814366427546695,-82.32599288083608,280.0564949270338,"(2.6087772160010445, 0.0, 0.0, 0.0, 3.526075040781521, 0.0, 0.0, 0.0, 8.884303960231193)",2
2024/05/14/15:48:02.625583,139924,1715716082,625318364,gps,0,0,34.814366427546695,-82.32599288083608,280.0564949270338,"(2.6087772160010445, 0.0, 0.0, 0.0, 3.526075040781521, 0.0, 0.0, 0.0, 8.884303960231193)",2
2024/05/14/15:48:02.650537,139925,1715716082,650390442,gps,0,0,34.814366427546695,-82.32599288083608,280.0564949270338,"(2.6087772160010445, 0.0, 0.0, 0.0, 3.526075040781521, 0.0, 0.0, 0.0, 8.884303960231193)",2
2024/05/14/15:48:02.665064,139926,1715716082,664900473,gps,0,0,34.81436830802787,-82.32599623835897,279.62791021354496,"(2.5853735371495077, 0.0, 0.0, 0.0, 3.4256580267266514, 0.0, 0.0, 0.0, 8.819778570152778)",2
2024/05/14/15:48:02.685931,139927,1715716082,685737031,gps,0,0,34.81436830802787,-82.32599623835897,279.62791021354496,"(2.5853735371495077, 0.0, 0.0, 0.0, 3.4256580267266514, 0.0, 0.0, 0.0, 8.819778570152778)",2
2024/05/14/15:48:02.707210,139928,1715716082,706844458,gps,0,0,34.81436830802787,-82.32599623835897,279.62791021354496,"(2.5853735371495077, 0.0, 0.0, 0.0, 3.4256580267266514, 0.0, 0.0, 0.0, 8.819778570152778)",2
2024/05/14/15:48:02.726487,139929,1715716082,725988665,gps,0,0,34.81436830802787,-82.32599623835897,279.62791021354496,"(2.5853735371495077, 0.0, 0.0, 0.0, 3.4256580267266514, 0.0, 0.0, 0.0, 8.819778570152778)",2
2024/05/14/15:48:02.753267,139930,1715716082,753120262,gps,0,0,34.81436830802787,-82.32599623835897,279.62791021354496,"(2.5853735371495077, 0.0, 0.0, 0.0, 3.4256580267266514, 0.0, 0.0, 0.0, 8.819778570152778)",2
2024/05/14/15:48:02.765462,139931,1715716082,765315930,gps,0,0,34.814367761484384,-82.32599559880596,279.7289048442617,"(2.569119970193597, 0.0, 0.0, 0.0, 3.415931234949099, 0.0, 0.0, 0.0, 8.780266544827327)",2
2024/05/14/15:48:02.784171,139932,1715716082,783974933,gps,0,0,34.814367761484384,-82.32599559880596,279.7289048442617,"(2.569119970193597, 0.0, 0.0, 0.0, 3.415931234949099, 0.0, 0.0, 0.0, 8.780266544827327)",2
2024/05/14/15:48:02.806678,139933,1715716082,806215777,gps,0,0,34.814367761484384,-82.32599559880596,279.7289048442617,"(2.569119970193597, 0.0, 0.0, 0.0, 3.415931234949099, 0.0, 0.0, 0.0, 8.780266544827327)",2
2024/05/14/15:48:02.825994,139934,1715716082,825870301,gps,0,0,34.814367761484384,-82.32599559880596,279.7289048442617,"(2.569119970193597, 0.0, 0.0, 0.0, 3.415931234949099, 0.0, 0.0, 0.0, 8.780266544827327)",2
2024/05/14/15:48:02.904238,139935,1715716082,904064073,gps,0,0,34.814367761484384,-82.32599559880596,279.7289048442617,"(2.569119970193597, 0.0, 0.0, 0.0, 3.415931234949099, 0.0, 0.0, 0.0, 8.780266544827327)",2
2024/05/14/15:48:02.966414,139936,1715716082,966259799,gps,0,0,34.81436671331298,-82.3259943189098,279.9595607332885,"(2.532453122273992, 0.0, 0.0, 0.0, 3.402313298978754, 0.0, 0.0, 0.0, 8.736366383345796)",2
2024/05/14/15:48:02.974496,139937,1715716082,974378021,gps,0,0,34.81436671331298,-82.3259943189098,279.9595607332885,"(2.532453122273992, 0.0, 0.0, 0.0, 3.402313298978754, 0.0, 0.0, 0.0, 8.736366383345796)",2
2024/05/14/15:48:02.987104,139938,1715716082,986971576,gps,0,0,34.81436671331298,-82.3259943189098,279.9595607332885,"(2.532453122273992, 0.0, 0.0, 0.0, 3.402313298978754, 0.0, 0.0, 0.0, 8.736366383345796)",2
2024/05/14/15:48:02.994100,139939,1715716082,993977241,gps,0,0,34.81436671331298,-82.3259943189098,279.9595607332885,"(2.532453122273992, 0.0, 0.0, 0.0, 3.402313298978754, 0.0, 0.0, 0.0, 8.736366383345796)",2
2024/05/14/15:48:03.009222,139940,1715716083,9092012,gps,0,0,34.81436671331298,-82.3259943189098,279.9595607332885,"(2.532453122273992, 0.0, 0.0, 0.0, 3.402313298978754, 0.0, 0.0, 0.0, 8.736366383345796)",2
2024/05/14/15:48:03.017322,139941,1715716083,17208740,gps,0,0,34.81436545524403,-82.32599353309631,280.0903296833858,"(2.503997192596458, 0.0, 0.0, 0.0, 3.391935137780834, 0.0, 0.0, 0.0, 8.677582111482707)",2
2024/05/14/15:48:03.030069,139942,1715716083,29959742,gps,0,0,34.81436545524403,-82.32599353309631,280.0903296833858,"(2.503997192596458, 0.0, 0.0, 0.0, 3.391935137780834, 0.0, 0.0, 0.0, 8.677582111482707)",2
