time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.brake_pedal
2024/05/14/15:47:22.286189,119593,1715716042,285834258,,0.25200000405311584
2024/05/14/15:47:22.296164,119594,1715716042,295865734,,0.25200000405311584
2024/05/14/15:47:22.306150,119595,1715716042,305657193,,0.25200000405311584
2024/05/14/15:47:22.316011,119596,1715716042,315629962,,0.25200000405311584
2024/05/14/15:47:22.325974,119597,1715716042,325600199,,0.25200000405311584
2024/05/14/15:47:22.335941,119598,1715716042,335599879,,0.25200000405311584
2024/05/14/15:47:22.346151,119599,1715716042,345851752,,0.25200000405311584
2024/05/14/15:47:22.356529,119600,1715716042,355607601,,0.25200000405311584
2024/05/14/15:47:22.366066,119601,1715716042,365624015,,0.25200000405311584
2024/05/14/15:47:22.375903,119602,1715716042,375597270,,0.25200000405311584
2024/05/14/15:47:22.385959,119603,1715716042,385626907,,0.25200000405311584
2024/05/14/15:47:22.395889,119604,1715716042,395596328,,0.25200000405311584
2024/05/14/15:47:22.406005,119605,1715716042,405599390,,0.25200000405311584
2024/05/14/15:47:22.415949,119606,1715716042,415615676,,0.25200000405311584
2024/05/14/15:47:22.426050,119607,1715716042,425649663,,0.25200000405311584
2024/05/14/15:47:22.435997,119608,1715716042,435614522,,0.25200000405311584
2024/05/14/15:47:22.446009,119609,1715716042,445646714,,0.25200000405311584
2024/05/14/15:47:22.456480,119610,1715716042,455725918,,0.25200000405311584
2024/05/14/15:47:22.465989,119611,1715716042,465617027,,0.25200000405311584
2024/05/14/15:47:22.475988,119612,1715716042,475649732,,0.25200000405311584
2024/05/14/15:47:22.485961,119613,1715716042,485616956,,0.25200000405311584
2024/05/14/15:47:22.495985,119614,1715716042,495614743,,0.25200000405311584
2024/05/14/15:47:22.506036,119615,1715716042,505639610,,0.25200000405311584
2024/05/14/15:47:22.516009,119616,1715716042,515635453,,0.25200000405311584
2024/05/14/15:47:22.525988,119617,1715716042,525660428,,0.25200000405311584
2024/05/14/15:47:22.535996,119618,1715716042,535637349,,0.25200000405311584
2024/05/14/15:47:22.545990,119619,1715716042,545658796,,0.25200000405311584
2024/05/14/15:47:22.561510,119620,1715716042,555632360,,0.25200000405311584
2024/05/14/15:47:22.566011,119621,1715716042,565642593,,0.25200000405311584
2024/05/14/15:47:22.576061,119622,1715716042,575701442,,0.25200000405311584
2024/05/14/15:47:22.586064,119623,1715716042,585714696,,0.25200000405311584
2024/05/14/15:47:22.595995,119624,1715716042,595672384,,0.25200000405311584
